gen;best;worst;avg;std
1;18758;117253;43540.76;14428.126740585556
2;12798;78784;37163.26;10214.350462579596
3;12798;55338;30985.84;8339.680418001639
4;11841;49613;26035.05;7908.264810152729
5;11841;55157;24395.24;7695.1184995684125
6;12841;48086;23599.83;6887.369737505023
7;11915;51859;22085.84;6725.455535084595
8;11161;42948;23197.61;7612.812371121463
9;10118;47954;23772.02;7395.771610832774
10;10118;47948;23985.13;6796.267981260008
11;11330;42025;22798.97;6424.739679481185
12;9250;43222;21999.28;6295.657225548417
13;10050;47351;22958.81;7900.8467922052505
14;9201;46520;21415.68;7360.284259293251
15;9831;43671;21759.39;7636.5433527152845
16;10278;49677;22918.24;7758.633409460715
17;10364;51960;23220.44;7357.330687579565
18;10364;52582;21742.37;7493.524014313959
19;10253;44394;21897.72;8492.334039685438
20;9189;56610;21278.54;7681.344701834439
21;9152;35542;19406.93;6552.452757944921
22;9247;46739;19061.92;6705.129055700569
23;9035;52674;20151.68;6367.0955872831055
24;9035;37650;20198.61;6205.885849570551
25;9035;40127;19740.81;7259.517681905597
26;9204;41025;20629.24;7434.31919965776
27;10204;42517;21061.03;7260.022401418607
28;10204;58305;21282.55;7731.8361549828505
29;9422;50711;20849.85;7273.236904398206
30;8536;38031;20547.21;7003.326842715539
31;10287;45591;20342.18;6398.98920514795
32;9619;41514;20887.02;7439.151022771348
33;9364;50720;21071.94;8080.349844926271
34;8518;43068;20714.52;7281.161704673232
35;8518;41474;18648.07;5933.139796524265
36;8518;40354;19118.75;6454.415036817822
37;7361;41148;19852.08;7309.323716569133
38;7361;44391;20182.33;7728.163682343949
39;8309;44779;19788.63;8280.015324448379
40;6186;41567;18537.01;6932.060213955156
41;7309;34523;18121.68;6259.482002338532
42;8515;35259;17388.52;6032.592329140102
43;7358;39191;18600.38;7642.301392617279
44;7487;40964;18542.1;6827.00247473223
45;8398;38634;19378.85;6549.64708724829
46;8398;52862;22630.53;8522.587179319435
47;8625;60083;23355.86;8721.163314627242
48;8625;38825;20658.42;6542.4646352578775
49;9687;54766;22012.56;8394.73565911399
