best;worst;avg;std
16630;51341;32563.9;6918.104866941522
16630;39964;26748.19;4469.453898844914
16430;35486;24050.21;3867.991376140852
12235;29206;21200.69;3527.091673588879
12235;29211;19081.76;3098.461173292317
12235;27420;17412.47;3163.856452037608
10620;29209;15726.12;2817.926607560956
10347;24698;14769.63;2658.8284023419037
9946;21860;13587.99;2438.336459535476
9280;19455;12765.95;2328.0238760588345
9079;21329;11878.29;2321.28522286685
8962;16925;11061.99;1703.9922505398902
8296;20285;11555.51;2194.3996604766417
8296;20798;11230.41;2488.9357167070425
8210;17980;10314.87;1943.0009400666793
7426;17679;10095.92;2019.634871356701
7426;16408;9433.53;1684.2417668197165
7426;18882;10264.02;2483.532500210134
7426;20475;9912.33;2339.198337272836
7222;20358;9408.88;2134.4332469299666
7179;16514;9118.59;1776.6088263599277
7176;18052;9670.19;2513.882346869081
7176;16697;9307.71;2154.7705599204755
6969;19926;8926.27;2156.025147603803
6969;17189;8898.29;2193.2144231469933
6969;21082;8640.38;2180.378131334104
6886;18960;8732.33;2087.189910166298
6725;18934;8730.26;2375.211563713852
6843;14275;8324.24;1805.9931180378292
6630;16105;8214.23;1716.3342556448615
6328;16526;8442.49;2080.2294368410426
6386;19635;8771.01;2678.954730841863
6386;15466;8273.71;2089.9070471913337
6343;20806;8051.96;2144.3152096648478
6300;13869;8004.26;1905.9730041110238
6300;16034;7891.35;2060.8341630271952
6254;13172;7820.01;1834.9291130449699
6099;13339;7834.25;1827.8436332192096
6053;14745;7859.05;1964.1565995357905
6004;19832;8177.71;2504.6070841351543
5800;15894;7765.9;2131.7551336867937
5791;13726;7411.55;1777.0752396845778
5794;14283;7615.1;2083.086452838672
5794;14993;7683.39;2165.3284226417018
5791;17319;7685.14;2473.5725258014977
5782;14273;7162.94;1991.8856082616794
5782;14700;7210.51;1881.9350865266313
5782;16598;7347.0;1926.607910292076
5748;15047;7410.77;2152.2438842055053
5748;12397;7159.0;1769.3474729402362
5739;14177;7677.67;2360.933214027877
5446;19036;7877.04;2531.9689212942562
5443;18803;7194.95;2320.8570976042447
5440;14315;7212.41;2028.5023297743583
5394;13598;7501.8;2191.3449431798726
5391;23104;7406.74;2521.8400766900345
5394;17625;7075.64;2275.525989831802
5388;13456;6735.89;1832.1104382378262
5388;13373;7017.19;2144.199690770428
5339;14666;7083.89;2159.1210521645144
5219;25759;7271.76;2724.1898910318273
5259;15261;7103.11;2444.9442238832357
5259;16706;7388.52;2405.488181139122
5145;15392;7087.3;2558.9209815857935
5142;12191;7251.43;1972.0544173779792
5142;13666;7076.16;2038.5888095444848
5145;20683;7189.83;2746.991267022886
5093;15125;6823.67;2147.699159821971
5093;15383;6890.96;2292.061992704386
5090;17087;7123.31;2616.6384836083107
5090;15871;7161.17;2382.3516997076645
5090;16244;6992.5;2441.442129152358
5090;14999;6879.11;2390.010982799033
4998;14365;6669.34;2166.1647038948813
5087;12958;6923.61;2061.8090401150153
5044;17832;7181.32;2882.621882522923
5044;13079;6609.01;2118.751247763644
5044;15378;6975.87;2540.6458220499767
5001;13819;6509.69;1972.6415168245849
4958;21152;6679.62;2551.7057893887377
4915;15946;6765.65;2474.532438158773
4915;12733;6583.94;1837.600102416192
4912;16279;6900.6;2445.779814292366
4915;14950;6497.31;2288.999684119681
4912;14233;6658.71;2137.3549555232985
4912;15184;6782.73;2470.584242056927
4912;17449;6576.65;2420.090685800844
4912;13687;6269.73;1937.5135037206837
4912;16117;6678.73;2278.943675719082
4912;15034;6574.81;2171.653539103326
4912;13117;7311.58;2552.586990407966
4912;15907;7065.62;2368.015531114608
4912;17993;7283.06;2851.4571145994814
4912;13000;7057.46;2426.291064237759
4912;18750;6959.13;2694.084362654592
4912;14913;6944.97;2510.9527532592087
4909;15281;6627.87;2242.394459746099
4909;16662;6955.41;2661.035994100794
4909;16534;7297.54;2805.456374353377
4909;15910;6743.25;2274.3883897654773
